question_id,question_text,topic,difficulty,syllabus_match,type,max_score,evaluation_criteria,year_added
Q1,Что такое дозировка препарата?,Фармакология,0.47,0.93,open_ended,2,Точность,2022
Q2,Как рассчитать дозу для пациента?,Биохимия,0.21,0.7,multiple_choice,2,Полнота,2024
Q3,Побочные эффекты антибиотиков,Патология,0.33,0.8,open_ended,3,Четкость,2024
Q4,Анатомия сердца человека,Патология,0.35,0.82,open_ended,1,Дозировка,2023
Q5,Физиология дыхания,Биохимия,0.37,0.82,multiple_choice,2,Полнота,2022
Q6,Метаболизм глюкозы,Фармакология,0.66,0.81,open_ended,1,Точность,2024
Q7,Патогенез диабета,Физиология,0.77,0.87,open_ended,1,Точность,2022
Q8,Клиническая диагностика ОРВИ,Биохимия,0.43,0.87,open_ended,1,Точность,2022
Q9,Этика врачебной тайны,Анатомия,0.73,0.99,multiple_choice,2,Полнота,2024
Q10,Неотложная помощь при инфаркте,Фармакология,0.22,0.71,multiple_choice,2,Точность,2022
Q11,Механизм действия анальгетиков,Фармакология,0.77,0.87,multiple_choice,3,Дозировка,2024
Q12,Противопоказания препаратов,Биохимия,0.66,0.78,open_ended,3,Полнота,2024
Q13,Топография легких,Анатомия,0.74,0.83,open_ended,3,Точность,2024
Q14,Гемодинамика кровообращения,Анатомия,0.32,0.88,multiple_choice,3,Четкость,2024
Q15,Ферменты пищеварения,Биохимия,0.58,0.81,open_ended,3,Полнота,2022
Q16,Иммунный ответ организма,Фармакология,0.45,0.94,open_ended,3,Дозировка,2023
Q17,Рентгенологическая диагностика,Патология,0.66,0.9,multiple_choice,2,Дозировка,2022
Q18,Реанимационные мероприятия,Патология,0.37,0.83,multiple_choice,3,Точность,2022
Q19,Фармакокинетика лекарств,Фармакология,0.2,0.82,open_ended,2,Дозировка,2022
Q20,Взаимодействие препаратов,Анатомия,0.32,0.76,multiple_choice,1,Четкость,2024
